id,species_searched,species,longitude,latitude,source,date,key,temporal_filter,precision_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary
82,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-56.554427,-26.376247,gbif,2024,4522708030,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
83,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-48.094272,-10.132079,gbif,2024,4535672571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
84,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-44.521706,-22.484831,gbif,2024,4872277012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
85,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.974693,-18.299297,gbif,2024,4597019632,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
86,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.94149,-18.273404,gbif,2024,4600081206,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
87,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.848661,-18.354124,gbif,2024,4606803201,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
88,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-41.858324,-18.869867,gbif,2024,4851913063,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
89,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-41.962611,-18.958491,gbif,2024,4852784428,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
90,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.986876,-18.28122,gbif,2024,4847158857,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
91,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.53327,-20.023232,gbif,2024,4852520582,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
92,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.826734,-18.132787,gbif,2024,4854985894,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
93,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-57.435869,-28.713153,gbif,2024,4855170926,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
94,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.922828,-18.020619,gbif,2024,4855454344,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
95,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-61.421691,-29.022113,gbif,2024,4854856169,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
96,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-58.013829,-24.562214,gbif,2024,4863342318,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
97,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-61.568164,-29.148235,gbif,2024,4868122385,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
